Age,Gender,Income_Level,Preferred_Travel_Type,Avg_Trip_Duration,Spending_Amount,Booking_Channel,Repeat_Visitor,Customer_Review_Score,Cluster_Label
56,Female,Low,Cultural,11,1347.36,Website,No,3.2,2
69,Male,Low,Leisure,9,1338.2,Website,No,3.0,2
46,Male,Low,Leisure,9,1701.28,Website,Yes,3.2,2
32,Female,Medium,Leisure,11,2292.98,Agent,No,3.3,0
60,Other,High,Adventure,15,4654.16,Agent,Yes,4.6,3
25,Male,High,Leisure,10,3729.18,Website,Yes,4.2,3
38,Other,Medium,Religious,11,2176.05,Agent,No,3.7,1
56,Other,Low,Religious,9,1230.08,Agent,Yes,4.0,1
36,Female,Low,Religious,6,1332.12,App,No,3.9,1
40,Female,Medium,Adventure,14,3387.56,Website,Yes,4.0,3
28,Female,Low,Leisure,7,862.39,Agent,No,3.1,2
28,Female,Medium,Adventure,12,3102.76,Agent,Yes,4.5,3
41,Male,Medium,Leisure,10,2591.37,Website,Yes,4.1,1
53,Male,Medium,Cultural,9,2823.58,App,Yes,4.0,1
57,Female,Medium,Cultural,9,2928.27,Website,Yes,4.0,1
41,Male,High,Adventure,14,5335.54,App,Yes,4.5,3
20,Female,Medium,Religious,6,1405.58,Agent,No,2.8,2
39,Other,Medium,Adventure,14,3002.06,App,Yes,3.7,0
19,Other,High,Religious,8,3197.52,App,No,4.3,1
41,Other,High,Leisure,9,3742.84,Website,Yes,3.7,3
61,Female,Medium,Religious,11,2477.12,Agent,Yes,4.4,1
47,Other,Medium,Religious,8,2182.35,Website,No,3.9,1
55,Male,Medium,Leisure,10,2054.79,Website,Yes,3.6,1
19,Other,High,Cultural,10,3634.25,Agent,No,4.0,3
38,Other,High,Leisure,10,2989.62,Website,No,3.5,0
50,Other,Low,Adventure,12,2767.19,Website,Yes,4.3,3
29,Male,Medium,Adventure,11,3384.13,App,No,3.9,3
39,Female,Medium,Adventure,14,2486.38,Website,No,2.5,0
61,Male,Medium,Adventure,13,3151.51,Agent,Yes,4.1,3
42,Female,Low,Adventure,12,2069.25,Website,No,3.0,0
66,Female,High,Cultural,13,4275.24,App,Yes,4.3,3
44,Other,Medium,Cultural,14,2827.75,Website,Yes,3.5,0
59,Female,High,Religious,10,3133.99,Website,No,4.3,1
45,Male,High,Adventure,13,3310.47,Website,No,3.8,3
33,Male,Medium,Leisure,10,2242.22,App,No,2.9,2
32,Female,Medium,Adventure,11,2444.46,Agent,No,2.7,0
64,Other,Medium,Cultural,12,2423.44,Agent,No,3.0,0
68,Other,Low,Adventure,10,2554.47,App,No,3.5,0
61,Male,Medium,Cultural,10,2609.42,App,Yes,4.1,1
69,Other,Low,Religious,8,1700.34,Website,Yes,4.3,1
20,Female,Medium,Religious,9,2137.69,Agent,Yes,4.2,1
54,Female,Low,Religious,8,1197.45,App,No,3.3,2
68,Male,Low,Cultural,11,2368.49,Agent,Yes,3.9,1
24,Female,Low,Adventure,11,2163.39,Website,Yes,3.2,0
38,Male,Low,Adventure,10,2542.56,App,Yes,3.9,1
26,Female,Medium,Leisure,8,2231.83,Agent,No,3.9,1
56,Male,Medium,Cultural,11,2371.98,Agent,No,3.2,0
35,Other,Medium,Leisure,11,2232.71,Website,Yes,4.0,1
21,Female,Low,Religious,7,1130.83,App,Yes,3.5,2
42,Female,Low,Adventure,9,1933.75,Agent,Yes,3.4,2
31,Male,Low,Cultural,10,2621.1,Website,Yes,3.9,1
67,Male,Low,Leisure,8,2119.78,Agent,Yes,4.1,1
26,Female,High,Leisure,9,2646.05,Website,No,3.2,2
43,Male,Low,Leisure,9,889.64,Agent,No,2.7,2
19,Female,Medium,Adventure,14,3310.94,Agent,Yes,3.5,0
37,Other,Low,Adventure,13,2410.56,Website,Yes,4.1,3
45,Male,Low,Adventure,11,2631.04,App,Yes,3.8,1
64,Female,Medium,Cultural,12,2744.89,Website,Yes,4.4,3
24,Other,Medium,Adventure,13,3243.74,App,Yes,4.5,3
61,Other,Low,Cultural,12,2254.74,Agent,Yes,3.7,0
25,Female,Low,Leisure,7,1502.14,Agent,Yes,3.4,2
64,Male,Medium,Leisure,10,1435.59,Website,No,2.1,2
52,Female,Low,Religious,6,782.44,Website,No,2.3,2
31,Other,Low,Adventure,10,1680.95,App,No,2.5,2
34,Female,High,Leisure,12,4023.94,App,Yes,4.8,3
53,Male,Medium,Adventure,16,4101.95,App,No,3.4,3
67,Other,Medium,Cultural,12,2546.62,Website,No,3.3,0
57,Female,Medium,Leisure,11,2582.32,Agent,Yes,3.0,0
21,Male,Medium,Adventure,13,3242.92,Website,Yes,3.4,0
19,Other,Medium,Leisure,8,2451.18,Agent,Yes,4.5,1
23,Male,Medium,Leisure,9,2362.4,Website,Yes,4.1,1
59,Other,Medium,Adventure,16,3518.43,Website,Yes,3.8,3
